ticker,company_name,cik,source,distress_label,distress_event_date,distress_event_type,brd_chapter,brd_disposition,brd_emerged,brd_days_in_bk,brd_fresh_start,brd_refiled,brd_dip_loan,brd_sale_363,brd_prepackaged,brd_voluntary,brd_ceo_replaced,brd_trustee_appointed,brd_assets_before_m,brd_sales_before_m,brd_ebit_before_m,brd_sic_description,brd_sic_division,brd_after_emerging,brd_date_emerging,brd_year_emerged,brd_days_emerge_to_refile,brd_name_emerging,brd_assets_emerging_m,brd_sales_emerging_m,brd_ebit_emerging_m,brd_ebitda_emerging_m,brd_net_income_emerging_m
,"Armstrong Flooring, Inc.",0001655075,lopucki_brd,1,2022-05-08,chapter_11,11,pending,0,,0,0,0,1,0,1,0,0,517.0,649.9,-80.7,"Plastics Products, Not Elsewhere Classified",D: Manufacturing,,,,,liquidated,,,,,
,"Ascena Retail Group, Inc.",0001498301,lopucki_brd,1,2020-07-23,chapter_11,11,other,1,217.0,0,0,1,1,1,1,1,0,2699.8,5493.4,-125.4,,G: Retail Trade,,2020-12-08,2020.0,,Mahwah Bergen Retail Group,,,,,
,Aspect Software Parent Inc.,0001506545,lopucki_brd,1,2016-03-09,chapter_11,11,other,1,77.0,0,0,1,0,1,1,1,0,951.861,444.897,129.6,Computer Programming Services,I: Services,,2016-05-25,2016.0,,"Aspect Software, Inc.",,,,,
,"Atlas Resource Partners, L.P.",0001532750,lopucki_brd,1,2016-07-27,chapter_11,11,other,1,30.0,0,0,0,0,1,1,0,0,1731.004,740.033,-695.146,Drilling Oil and Gas Wells,B: Mining,,2016-08-26,2016.0,,"Titan Energy, LLC",881.834,,,,
,Avaya Inc.,0001116521,lopucki_brd,1,2017-01-19,chapter_11,11,other,1,313.0,1,0,1,0,0,1,1,0,6862.0,4081.0,440.0,Telephone and Telegraph Apparatus,D: Manufacturing,,2017-11-28,2017.0,,Avaya Holdings Corp.,7679.0,2887.0,26.0,441.0,3264.0
,"Azure Midstream Partners, LP",0001575599,lopucki_brd,1,2017-01-30,chapter_11,11,other,0,109.0,0,0,0,1,0,1,0,0,567.225,80.592,6.268,Natural Gas Transmission,"E: Transportation, Communications, Electric, Gas",,,,,liquidated,,,,,
,"Basic Energy Services, Inc. (2016)",0001109189,lopucki_brd,1,2016-10-25,chapter_11,11,other,1,45.0,0,1,1,0,1,1,1,0,1161.369,805.599,-217.686,"Oil and Gas Field Services, Not Elsewhere Classified",B: Mining,,2016-12-09,2016.0,1726.0,"Basic Energy Services, Inc.",768.16,864.041,-273.689,-55.337,-123.373
,"Black Elk Energy Offshore Operations, LLC",0001518909,lopucki_brd,1,2015-08-11,chapter_11,11,other,0,337.0,0,0,1,0,0,0,0,0,565.614,258.008,-6.439,Crude Petroleum and Natural Gas,B: Mining,,,,,liquidated,,,,,
,Blockbuster Inc.,0001085734,lopucki_brd,1,2010-09-23,chapter_11,11,converted,1,1027.0,0,0,1,1,1,1,1,0,1538.3,1538.3,18.3,Video Tape Rental,I: Services,"Acquired by Dish Network Corp., 4/2011; now a subsidiary",2011-04-14,2011.0,,Blockbuster LLC,,,,,
,"Bon Ton Stores, Inc.",0000878079,lopucki_brd,1,2018-02-04,chapter_11,11,dismissed,0,418.0,0,0,1,1,0,1,0,0,1505.063,2674.351,19.594,Department Stores,G: Retail Trade,,,,,liquidated,,,,,
,"Bonanza Creek Energy, Inc.",0001509589,lopucki_brd,1,2017-01-04,chapter_11,11,other,1,93.0,0,0,0,0,1,1,1,0,1134.478,195.295,-105.948,Crude Petroleum and Natural Gas,B: Mining,,2017-04-07,2017.0,,"Bonanza Creek Energy, Inc.",830.371,276.657,26.311,75.688,-2.36
,"Borders Group, Inc.",0000940510,lopucki_brd,1,2011-02-16,chapter_11,11,other,0,307.0,0,0,1,1,0,1,0,0,964.7,2274.9,-286.2,,G: Retail Trade,,,,,liquidated,,,,,
,Breitburn Energy Partners LP,0001357371,lopucki_brd,1,2016-05-15,chapter_11,11,other,1,680.0,0,0,1,0,0,1,0,0,4872.412,1108.715,-2270.435,Crude Petroleum and Natural Gas,B: Mining,,2018-03-26,2018.0,,"Maverick Natural Resources, LLC",,,,,
,Briggs & Stratton Corporation,0000014195,lopucki_brd,1,2020-07-20,chapter_11,11,other,1,151.0,0,0,1,1,0,1,1,0,1551.431,1836.605,0.459,,D: Manufacturing,,2020-09-15,2020.0,,"Briggs & Stratton, LLC",,,,,
,Bristow Group Inc.,0000073887,lopucki_brd,1,2019-05-11,chapter_11,11,other,1,150.0,0,0,1,0,1,1,0,0,2652.599,1369.662,-52.823,"Air Transportation, Nonscheduled","E: Transportation, Communications, Electric, Gas",,2019-10-08,2019.0,,Bristow Group Inc.,,,,,
,C&J Energy Services Ltd.,0001615817,lopucki_brd,1,2016-07-20,chapter_11,11,other,1,149.0,0,0,1,0,1,1,0,0,2232.906,1748.889,-255.513,"Oil and Gas Field Services, Not Elsewhere Classified",B: Mining,,2016-12-16,2016.0,,"C&J Energy Services, Inc.",1361.601,1638.739,-388.506,-171.066,-944.289
,CBL & Associates Properties Inc. (CBL & Associates LP),0000910612,lopucki_brd,1,2020-11-01,chapter_11,11,other,1,283.0,1,0,0,0,1,1,0,0,4622.346,768.696,-15.791,Real Estate Investment Trusts,"H: Finance, Insurance, And Real Estate",,2021-08-11,2021.0,,CBL Properties,2945.979,,,,
,"CEC Entertainment, Inc.",0000813920,lopucki_brd,1,2020-06-24,chapter_11,11,other,1,174.0,0,0,1,0,0,1,0,0,2119.549,912.865,50.968,Eating Places,G: Retail Trade,,2020-12-15,2020.0,,"CEC Entertainment, LLC",,,,,
,CHC Group Ltd.,0001586300,lopucki_brd,1,2016-05-05,chapter_11,11,other,1,302.0,0,0,0,0,0,1,1,0,2140.425,1382.489,24.783,"Air Transportation, Nonscheduled","E: Transportation, Communications, Electric, Gas",,2017-03-03,2017.0,,CHC Group Ltd.,,,,,
,"Caesars Entertainment Operating Company, Inc.",0000858395,lopucki_brd,1,2015-01-12,chapter_11,11,other,1,736.0,0,0,0,0,1,0,1,0,12350.1,5215.1,668.8,Hotels and Motels,I: Services,,2017-01-17,2017.0,,pending,,,,,
,"Cal Dive International, Inc.",0001364100,lopucki_brd,1,2015-03-03,chapter_11,11,converted,0,738.0,0,0,1,1,0,1,0,0,650.682,516.958,-32.722,"Oil and Gas Field Services, Not Elsewhere Classified",B: Mining,,,,,liquidated,,,,,
,California Resources Corporation,0001609253,lopucki_brd,1,2020-07-15,chapter_11,11,other,1,90.0,1,0,1,0,1,1,1,0,6958.0,2634.0,429.0,Crude Petroleum and Natural Gas,B: Mining,,2020-10-13,2020.0,,California Resources Corporation,3074.0,1889.0,-1825.0,-1235.0,1766.0
,Capitol Bancorp Ltd.,0000840264,lopucki_brd,1,2012-08-09,chapter_11,11,other,0,538.0,0,0,1,1,1,1,0,0,2205.265,145.536,-22.228,National Commercial Banks,"H: Finance, Insurance, And Real Estate",,,,,liquidated,,,,,
,Central European Distribution Corporation,0001046880,lopucki_brd,1,2013-04-07,chapter_11,11,other,1,36.0,0,1,0,0,1,1,1,0,1767.552,1745.315,82.144,,F: Wholesale Trade,,2013-05-13,2013.0,1327.0,Central European Distribution Corporation,,,,,
,Centric Brands Inc.,0000844143,lopucki_brd,1,2020-05-18,chapter_11,11,other,1,126.0,0,0,1,0,1,1,0,0,1858.955,596.602,18.041,,D: Manufacturing,,2020-09-21,2020.0,,Centric Brands LLC,,,,,
,"Cenveo, Inc.",0000920321,lopucki_brd,1,2018-02-02,chapter_11,11,other,1,200.0,0,0,1,0,1,1,1,0,912.959,1660.001,87.986,,D: Manufacturing,,2018-08-21,2018.0,,Cenveo Worldwide Limited,,,,,
,"Chaparral Energy, Inc. (2020)",0001346980,lopucki_brd,1,2020-08-16,chapter_11,11,other,1,46.0,0,0,0,0,1,1,0,0,988.432,236.345,-402.163,Crude Petroleum and Natural Gas,B: Mining,"Changed name to ""Canvas Energy Inc."" 4/20/2022",2020-10-01,2020.0,,"Chaparral Energy, Inc.",,,,,
,Chesapeake Energy Corporation,0000895126,lopucki_brd,1,2020-06-28,chapter_11,11,other,1,201.0,1,0,1,0,1,1,1,0,16193.0,8595.0,-31.0,Crude Petroleum and Natural Gas,B: Mining,,2021-01-15,2021.0,,Chesapeake Energy Corporation,11009.0,,,,
,"Ciber, Inc.",0000918581,lopucki_brd,1,2017-04-09,chapter_11,11,other,0,255.0,0,0,1,1,0,1,1,0,502.271,786.955,15.395,Computer Programming Services,I: Services,,,,,liquidated,,,,,
,"Claires Stores, Inc.",0000034115,lopucki_brd,1,2018-03-19,chapter_11,11,other,1,186.0,0,0,1,0,1,1,1,0,2000.723,1337.61,149.903,,G: Retail Trade,,2018-09-21,2018.0,,"Claires Stores, Inc.",,,,,
,Cloud Peak Energy Inc.,0001441849,lopucki_brd,1,2019-05-10,chapter_11,11,other,0,209.0,0,0,1,1,1,1,1,0,928.656,832.405,-705.396,Bituminous Coal and Lignite Surface Mining,B: Mining,,,,,not classified,,,,,
,"Cobalt International Energy, Inc.",0001471261,lopucki_brd,1,2017-12-14,chapter_11,11,other,0,112.0,0,0,0,0,0,1,0,0,2230.478,16.805,-2137.012,Crude Petroleum and Natural Gas,B: Mining,,,,,liquidated,,,,,
,"Corinthian Colleges, Inc.",0001066134,lopucki_brd,1,2015-05-04,chapter_11,11,other,0,116.0,0,0,0,1,0,1,0,0,1028.744,1600.205,55.106,,I: Services,,,,,liquidated,,,,,
,"Corus Bankshares, Inc.",0000051939,lopucki_brd,1,2010-06-15,chapter_11,11,other,0,469.0,0,0,0,0,0,1,0,0,8353.0,132.315,-537.353,National Commercial Banks,"H: Finance, Insurance, And Real Estate",,,,,liquidated,,,,,
,Covia Holdings Corporation,0001722287,lopucki_brd,1,2020-06-29,chapter_11,11,other,1,168.0,0,0,0,0,1,1,1,0,2446.518,1595.446,-98.301,,B: Mining,,2020-12-14,2020.0,,Covia Holdings LLC,,,,,
,Cumulus Media Inc.,0001058623,lopucki_brd,1,2017-11-29,chapter_11,11,other,1,162.0,1,0,0,0,1,1,0,0,2412.691,1141.4,115.598,Radio Broadcasting Stations,"E: Transportation, Communications, Electric, Gas",,2018-05-10,2018.0,,Cumulus Media Inc.,1775.152,1113.445,170.138,226.244,757.581
,Dean Foods Company,0000931336,lopucki_brd,1,2019-11-12,chapter_11,11,other,0,491.0,0,0,1,1,0,1,0,0,2118.492,1655.278,-27.18,,D: Manufacturing,,,,,liquidated,,,,,
,Delta Petroleum Corporation,0000821483,lopucki_brd,1,2011-12-15,chapter_11,11,other,1,245.0,0,0,1,0,0,1,1,0,1024.112,146.805,-102.42,Crude Petroleum and Natural Gas,B: Mining,,2012-08-16,2012.0,,Par Petroleum Corporation,189.582,886.014,-175.142,-158.7,-54.276
,Denbury Resources Inc.,0000945764,lopucki_brd,1,2020-07-30,chapter_11,11,other,1,34.0,1,0,1,0,1,1,0,0,4691.867,1274.883,332.314,Crude Petroleum and Natural Gas,B: Mining,,2020-09-02,2020.0,,Denbury Inc.,1634.758,1258.16,-1003.057,-807.811,-1483.236
,"Dex Media, Inc. (2016)",0001556739,lopucki_brd,1,2016-05-16,chapter_11,11,other,1,60.0,0,0,0,0,1,1,0,0,1722.0,1815.0,80.0,,I: Services,,2016-07-15,2016.0,,"Dex Media, Inc.",,,,,
,Dex One Corporation (2013),0000030419,lopucki_brd,1,2013-03-18,chapter_11,11,other,1,42.0,0,1,0,0,1,1,0,0,2835.418,1300.009,137.529,,I: Services,"merged with SuperMedia to form Dex Media, Inc.",2013-04-29,2013.0,1113.0,Dex Media Inc.,2464.0,,-316.0,449.0,-819.0
,"Diamond Offshore Drilling, Inc.",0000949039,lopucki_brd,1,2020-04-26,chapter_11,11,other,1,347.0,1,0,0,0,0,1,1,0,5834.044,980.644,-281.258,Drilling Oil and Gas Wells,B: Mining,,2021-04-08,2021.0,,"Diamond Offshore Drilling, Inc.",1531.44,,,,
,Ditech Holding Corporation (2019),0001040719,lopucki_brd,1,2019-02-11,chapter_11,11,other,0,227.0,0,0,1,0,1,1,0,0,11284.526,846.213,102.124,Mortgage Bankers and Loan Correspondents,"H: Finance, Insurance, And Real Estate",,,,,liquidated,,,,,
,Doral Financial Corporation,0000840889,lopucki_brd,1,2015-03-11,chapter_11,11,other,0,518.0,0,0,0,0,0,1,0,0,8493.454,432.046,-5.275,"Commercial Banks, Not Elsewhere Classified","H: Finance, Insurance, And Real Estate",,,,,liquidated,,,,,
,"Dynegy Holdings, LLC",0001105055,lopucki_brd,1,2011-11-07,chapter_11,11,other,1,308.0,0,0,1,0,1,1,0,0,10013.0,2323.0,142.0,Electric Services,"E: Transportation, Communications, Electric, Gas",Merged with Dynegy Inc. upton emergence,2012-09-10,2012.0,,Dynegy Inc.,4535.0,1466.0,-99.0,60.0,-139.0
,EP Energy Corporation (EP Energy LLC),0001584952,lopucki_brd,1,2019-10-03,chapter_11,11,other,1,329.0,0,0,1,0,1,1,0,0,4181.0,1324.0,-718.0,Crude Petroleum and Natural Gas,B: Mining,acquired by Verdun Oil Company II LLC on 3/30/2022,2020-08-27,2020.0,,EP Energy Corporation,,,,,
,"EV Energy Partners, L.P.",0001361937,lopucki_brd,1,2018-04-02,chapter_11,11,other,1,45.0,1,0,0,0,1,1,1,0,1441.805,225.693,-119.049,Crude Petroleum and Natural Gas,B: Mining,,2018-05-17,2018.0,,Harvest Oil & Gas Corp.,534.494,113.82,21.306,92.11,-586.556
,"EXCO Resources, Inc.",0000316300,lopucki_brd,1,2018-01-15,chapter_11,11,other,1,519.0,0,0,1,0,0,1,0,0,840.347,283.646,18.598,Crude Petroleum and Natural Gas,B: Mining,,2019-06-18,2019.0,,"EXCO Resources, Inc.",,,,,
,Eagle Bulk Shipping Inc.,0001322439,lopucki_brd,1,2014-08-06,chapter_11,11,other,1,47.0,0,0,1,0,1,1,1,0,1723.414301,202.439528,-1.382,Deep Sea Foreign Transportation of Freight,"E: Transportation, Communications, Electric, Gas",,2014-09-22,2014.0,,Eagle Bulk Shipping Inc.,913.876822,103.857,-51.601,15.898,-543.352
